-1.30413E-06 0.145858 -1.15148
-7.50613E-07 0.13985 -1.14586
-7.28113E-07 0.139557 -0.990013
-1.33059E-06 0.139878 -1.29255
-1.03056E-06 0.14196 1.11075
-2.79375E-07 0.144404 -0.922944
-1.18608E-06 0.138226 0.224226
-7.14953E-07 0.145099 -0.667988
-1.54628E-06 0.152114 -1.71093
-7.65907E-07 0.140494 0.007706
-2.26239E-06 0.150661 -2.08449
-8.77477E-07 0.145806 -0.212613
-9.00094E-07 0.144752 -0.989205
-1.E-06 0.15 0.
-1.E-06 0.15 0.
-1.21147E-06 0.145214 -0.68376
-7.71169E-07 0.145503 -1.26696
-9.42634E-07 0.141924 -0.267122
-5.01525E-07 0.145765 -0.543244
0. 0. 0.
0. 0. 0.
0. 0. 0.
0. 0. 0.
0. 0. 0.
-1.72312E-06 0.144295 -0.506172
-4.13658E-07 0.138826 -1.42576
-1.33915E-06 0.144002 -1.30903
-5.26549E-07 0.138695 -1.40877
-2.1985E-06 0.149833 -0.696422
-1.E-06 0.15 0.				
-1.73095E-06 0.14421 -1.09981
-1.30381E-06 0.146569 -0.446825
-7.87843E-07 0.140339 -0.560465
-1.48734E-06 0.144657 -0.0641367
-1.82351E-06 0.141651 -0.916463
-8.67874E-07 0.140502 0.106695
-1.38826E-06 0.151008 -1.47136
-1.E-06 0.15 0.					
-1.1609E-06 0.142238 -0.763353
6.062748E-06 0.0933502 3.99319
-1.97609E-06 0.1451 -0.917643
-1.33517E-06 0.139872 -0.440664
3.07227E-07 0.124342 -0.0992259
0. 0. 0.
0. 0. 0.
0. 0. 0.
0. 0. 0.
0. 0. 0.
